,,"GSI*_male (Avr., N = 10)","GSI_female (Avr., N = 10)",SE_male,SE_female,Amount of solar radiation** (MJ/m2),Water temperature (℃)
Oct,2015/10/1 0:00,,,,,0,17.1
Oct,2015/10/1 1:00,,,,,0,17
Oct,2015/10/1 2:00,,,,,0,16.8
Oct,2015/10/1 3:00,,,,,0,16.7
Oct,2015/10/1 4:00,,,,,0,16.5
Oct,2015/10/1 5:00,,,,,0,16.4
Oct,2015/10/1 6:00,,,,,0,16.4
Oct,2015/10/1 7:00,,,,,0.06,16.5
Oct,2015/10/1 8:00,,,,,0.16,16.6
Oct,2015/10/1 9:00,,,,,0.23,16.6
Oct,2015/10/1 10:00,,,,,0.18,16.9
Oct,2015/10/1 11:00,,,,,0.13,17
Oct,2015/10/1 12:00,,,,,0.43,17.5
Oct,2015/10/1 13:00,,,,,0.23,18
Oct,2015/10/1 14:00,,,,,0.27,18.5
Oct,2015/10/1 15:00,,,,,0.24,19
Oct,2015/10/1 16:00,,,,,0.11,19.1
Oct,2015/10/1 17:00,,,,,0.03,19
Oct,2015/10/1 18:00,,,,,0,19
Oct,2015/10/1 19:00,,,,,0,19.1
Oct,2015/10/1 20:00,,,,,0,19.3
Oct,2015/10/1 21:00,,,,,0,19.5
Oct,2015/10/1 22:00,,,,,0,19.8
Oct,2015/10/1 23:00,,,,,0,20.5
Oct,2015/10/2 0:00,,,,,0,21.2
Oct,2015/10/2 1:00,,,,,0,22
Oct,2015/10/2 2:00,,,,,0,22.5
Oct,2015/10/2 3:00,,,,,0,22.4
Oct,2015/10/2 4:00,,,,,0,20.9
Oct,2015/10/2 5:00,,,,,0,20.2
Oct,2015/10/2 6:00,,,,,0,19.9
Oct,2015/10/2 7:00,,,,,0.18,19.8
Oct,2015/10/2 8:00,,,,,0.2,20
Oct,2015/10/2 9:00,,,,,0.83,20.9
Oct,2015/10/2 10:00,,,,,2.28,22.4
Oct,2015/10/2 11:00,,,,,2.82,23.3
Oct,2015/10/2 12:00,,,,,2.97,23.9
Oct,2015/10/2 13:00,,,,,2.83,24.4
Oct,2015/10/2 14:00,,,,,2.59,23.9
Oct,2015/10/2 15:00,,,,,2.06,22.1
Oct,2015/10/2 16:00,,,,,1.39,20.9
Oct,2015/10/2 17:00,,,,,0.65,19.6
Oct,2015/10/2 18:00,,,,,0.08,18.6
Oct,2015/10/2 19:00,,,,,0,17.8
Oct,2015/10/2 20:00,,,,,0,17.3
Oct,2015/10/2 21:00,,,,,0,16.7
Oct,2015/10/2 22:00,,,,,0,16.2
Oct,2015/10/2 23:00,,,,,0,15.7
Oct,2015/10/3 0:00,,,,,0,15.3
Oct,2015/10/3 1:00,,,,,0,14.9
Oct,2015/10/3 2:00,,,,,0,14.5
Oct,2015/10/3 3:00,,,,,0,14.2
Oct,2015/10/3 4:00,,,,,0,13.8
Oct,2015/10/3 5:00,,,,,0,13.5
Oct,2015/10/3 6:00,,,,,0.01,13.3
Oct,2015/10/3 7:00,,,,,0.35,13.6
Oct,2015/10/3 8:00,,,,,1.08,14.4
Oct,2015/10/3 9:00,,,,,1.79,16.2
Oct,2015/10/3 10:00,,,,,2.37,18.6
Oct,2015/10/3 11:00,,,,,2.78,21.3
Oct,2015/10/3 12:00,,,,,2.96,22.8
Oct,2015/10/3 13:00,,,,,2.87,23.9
Oct,2015/10/3 14:00,,,,,2.6,24.1
Oct,2015/10/3 15:00,,,,,1.88,23.1
Oct,2015/10/3 16:00,,,,,1.47,22.2
Oct,2015/10/3 17:00,,,,,0.35,21.3
Oct,2015/10/3 18:00,,,,,0.08,20.6
Oct,2015/10/3 19:00,,,,,0,20
Oct,2015/10/3 20:00,,,,,0,19.4
Oct,2015/10/3 21:00,,,,,0,18.9
Oct,2015/10/3 22:00,,,,,0,18.2
Oct,2015/10/3 23:00,,,,,0,17.7
Oct,2015/10/4 0:00,,,,,0,17.2
Oct,2015/10/4 1:00,,,,,0,16.8
Oct,2015/10/4 2:00,,,,,0,16.4
Oct,2015/10/4 3:00,,,,,0,16
Oct,2015/10/4 4:00,,,,,0,15.6
Oct,2015/10/4 5:00,,,,,0,15.2
Oct,2015/10/4 6:00,,,,,0,14.9
Oct,2015/10/4 7:00,,,,,0.25,15
Oct,2015/10/4 8:00,,,,,0.97,15.8
Oct,2015/10/4 9:00,,,,,1.65,17.2
Oct,2015/10/4 10:00,,,,,2.24,19.6
Oct,2015/10/4 11:00,,,,,2.06,21.7
Oct,2015/10/4 12:00,,,,,2.31,23
Oct,2015/10/4 13:00,,,,,2.5,23.9
Oct,2015/10/4 14:00,,,,,1.63,23.9
Oct,2015/10/4 15:00,,,,,1.52,22.8
Oct,2015/10/4 16:00,,,,,1.19,21.7
Oct,2015/10/4 17:00,,,,,0.56,20.5
Oct,2015/10/4 18:00,,,,,0.05,19.5
Oct,2015/10/4 19:00,,,,,0,18.6
Oct,2015/10/4 20:00,,,,,0,17.8
Oct,2015/10/4 21:00,,,,,0,17.5
Oct,2015/10/4 22:00,,,,,0,17.1
Oct,2015/10/4 23:00,,,,,0,16.7
Oct,2015/10/5 0:00,,,,,0,16.3
Oct,2015/10/5 1:00,,,,,0,16
Oct,2015/10/5 2:00,,,,,0,15.8
Oct,2015/10/5 3:00,,,,,0,15.5
Oct,2015/10/5 4:00,,,,,0,15.2
Oct,2015/10/5 5:00,,,,,0,15.1
Oct,2015/10/5 6:00,,,,,0,15.1
Oct,2015/10/5 7:00,,,,,0.09,15.5
Oct,2015/10/5 8:00,,,,,0.42,16.1
Oct,2015/10/5 9:00,,,,,0.83,16.7
Oct,2015/10/5 10:00,,,,,1.38,17.6
Oct,2015/10/5 11:00,,,,,1.95,19.4
Oct,2015/10/5 12:00,,,,,2.41,20.5
Oct,2015/10/5 13:00,,,,,1.6,21.2
Oct,2015/10/5 14:00,,,,,1.13,21.3
Oct,2015/10/5 15:00,,,,,0.62,21
Oct,2015/10/5 16:00,,,,,0.43,20.7
Oct,2015/10/5 17:00,,,,,0.2,20.2
Oct,2015/10/5 18:00,,,,,0.02,19.8
Oct,2015/10/5 19:00,,,,,0,19.4
Oct,2015/10/5 20:00,,,,,0,19
Oct,2015/10/5 21:00,,,,,0,18.8
Oct,2015/10/5 22:00,,,,,0,18.4
Oct,2015/10/5 23:00,,,,,0,17.9
Oct,2015/10/6 0:00,,,,,0,17.7
Oct,2015/10/6 1:00,,,,,0,17.5
Oct,2015/10/6 2:00,,,,,0,17.2
Oct,2015/10/6 3:00,,,,,0,16.9
Oct,2015/10/6 4:00,,,,,0,16.7
Oct,2015/10/6 5:00,,,,,0,16.4
Oct,2015/10/6 6:00,,,,,0,16.3
Oct,2015/10/6 7:00,,,,,0.11,16.4
Oct,2015/10/6 8:00,,,,,0.49,17
Oct,2015/10/6 9:00,,,,,0.83,18.2
Oct,2015/10/6 10:00,,,,,1.39,19.8
Oct,2015/10/6 11:00,,,,,2.32,21.4
Oct,2015/10/6 12:00,,,,,2.65,22.4
Oct,2015/10/6 13:00,,,,,2.63,23.8
Oct,2015/10/6 14:00,,,,,2.35,23.6
Oct,2015/10/6 15:00,,,,,1.95,22.7
Oct,2015/10/6 16:00,,,,,1.24,22.1
Oct,2015/10/6 17:00,,,,,0.55,21.5
Oct,2015/10/6 18:00,,,,,0.05,20.8
Oct,2015/10/6 19:00,0.58948993,1.902130898,0.04183504,0.091110882,0,20.1
Oct,2015/10/6 20:00,,,,,0,19.6
Oct,2015/10/6 21:00,,,,,0,19.1
Oct,2015/10/6 22:00,,,,,0,18.5
Oct,2015/10/6 23:00,,,,,0,18
Oct,2015/10/7 0:00,,,,,0,17.6
Oct,2015/10/7 1:00,,,,,0,17.3
Oct,2015/10/7 2:00,,,,,0,16.8
Oct,2015/10/7 3:00,,,,,0,16.4
Oct,2015/10/7 4:00,,,,,0,15.8
Oct,2015/10/7 5:00,,,,,0,15.4
Oct,2015/10/7 6:00,,,,,0,15.1
Oct,2015/10/7 7:00,,,,,0.31,15.2
Oct,2015/10/7 8:00,,,,,1.04,15.7
Oct,2015/10/7 9:00,,,,,1.78,16.8
Oct,2015/10/7 10:00,,,,,2.35,18.7
Oct,2015/10/7 11:00,,,,,2.74,20.5
Oct,2015/10/7 12:00,,,,,2.92,21.7
Oct,2015/10/7 13:00,,,,,2.83,22.8
Oct,2015/10/7 14:00,,,,,2.5,22.4
Oct,2015/10/7 15:00,,,,,1.94,21.3
Oct,2015/10/7 16:00,,,,,1.23,20.6
Oct,2015/10/7 17:00,,,,,0.53,19.7
