♂1,♂2,♂3,♂4,♂5,♂6,♂7,♂8,♂9,♂10,♀1,♀2,♀3,♀4,♀5,♀6,♀7,♀8,♀9,♀10
0.57,0.78,0.38,0.41,0.59,0.56,0.75,0.69,0.53,0.63,1.70,1.83,2.10,1.84,1.72,1.74,2.28,2.35,1.42,2.04
0.70,0.63,0.79,0.67,0.72,0.62,0.73,0.71,0.79,0.73,2.29,1.55,1.96,1.94,1.92,2.04,2.35,2.07,2.17,2.22
0.75,0.83,0.59,0.68,0.91,0.53,0.56,0.65,0.89,0.74,1.97,2.46,2.38,2.11,2.04,2.06,2.40,2.61,2.65,2.10
0.67,0.76,0.62,0.76,0.59,0.55,0.51,0.66,0.70,0.60,2.65,2.23,1.87,2.39,2.30,2.59,1.99,2.76,2.81,2.21
0.52,0.81,0.79,0.65,0.80,0.59,0.78,0.76,0.78,0.79,2.62,2.31,2.31,2.96,2.85,2.72,2.70,2.93,2.80,2.50
0.62,0.61,0.67,0.91,0.51,0.89,0.61,0.57,0.72,0.67,2.34,2.55,2.94,2.47,2.99,2.72,2.60,2.44,2.53,3.02
0.57,0.89,0.72,0.80,0.68,0.76,0.54,0.65,0.53,0.80,3.21,2.61,2.53,2.39,2.96,3.06,2.57,2.43,2.79,2.71
0.96,0.93,0.77,0.76,0.77,0.79,0.76,0.86,0.49,0.97,2.46,2.62,2.14,2.72,2.37,2.59,2.89,2.78,2.92,2.78
0.65,0.69,0.77,0.82,0.87,0.45,0.85,1.06,0.54,,2.31,2.79,2.85,2.80,2.74,3.75,2.54,2.39,3.07,3.29
0.71,1.25,1.18,1.05,0.74,1.20,0.96,0.79,0.98,0.73,3.71,3.07,3.77,4.22,3.85,3.12,3.57,3.00,3.71,3.98
1.01,1.17,1.57,0.86,0.88,1.13,0.79,0.85,1.11,1.01,3.93,5.81,3.45,4.95,4.61,4.48,4.62,4.34,4.22,3.96
1.09,1.34,0.88,1.07,0.89,1.21,0.94,1.40,1.09,0.89,4.81,4.48,4.09,4.20,4.90,5.99,5.75,4.86,4.22,5.76
1.11,1.13,1.22,0.92,1.04,1.05,1.27,0.86,1.43,0.99,7.02,9.16,7.46,6.70,8.51,6.13,6.19,6.12,8.21,5.62
1.01,0.96,1.11,1.09,1.11,0.83,1.02,0.91,1.10,0.91,9.46,9.05,9.15,13.62,11.55,11.64,9.65,12.28,9.21,11.15
0.98,0.76,0.72,1.14,1.36,0.79,0.74,0.90,1.15,0.86,6.06,6.36,5.98,8.34,13.37,11.30,6.67,11.66,5.98,4.43
0.96,1.66,1.21,1.11,0.92,1.02,1.06,0.72,1.00,0.83,9.77,9.33,10.23,12.35,11.07,11.07,10.59,9.10,8.75,11.37
0.92,0.88,0.73,0.84,0.70,1.00,0.91,0.78,0.77,0.79,7.78,10.34,7.41,5.87,7.57,7.37,7.56,6.26,8.02,5.64
0.59,0.84,0.62,0.75,0.61,0.58,0.58,0.68,0.58,0.58,4.80,4.14,4.81,4.45,3.60,5.20,3.99,6.45,3.70,3.63
0.61,0.80,1.00,1.24,0.98,1.08,1.13,0.88,0.97,0.89,10.07,9.10,11.30,7.80,12.14,9.59,13.17,7.40,8.13,7.00
0.76,0.96,1.01,1.08,0.93,0.88,0.76,0.80,0.92,0.83,8.25,7.17,8.24,6.61,9.05,8.08,8.53,8.05,7.51,9.77
1.09,1.00,1.17,0.82,0.76,0.92,0.89,1.30,0.94,0.83,7.10,7.14,6.20,7.95,5.52,5.93,7.09,5.88,6.30,8.18
0.79,0.93,1.02,0.90,0.80,0.94,1.06,0.81,1.01,1.22,7.34,8.64,7.95,11.01,8.97,9.03,9.64,7.93,7.40,7.71
0.54,0.88,0.49,0.61,0.62,0.72,0.47,0.67,0.76,0.66,2.61,2.88,2.85,1.91,3.78,2.66,2.58,4.04,3.30,3.72
0.31,0.42,0.40,0.30,0.30,0.33,0.49,0.37,0.26,0.24,1.41,1.41,1.91,1.35,1.13,1.64,1.58,1.74,1.91,1.34
0.44,0.30,0.54,0.59,0.42,0.54,0.57,0.35,0.51,0.42,1.70,1.42,1.55,2.22,1.69,1.48,1.70,1.96,1.66,1.52
0.34,0.24,0.24,0.56,0.44,0.33,0.29,0.18,0.27,0.25,1.48,1.13,1.55,1.46,1.67,1.80,1.07,1.76,1.68,1.59
0.31,0.50,0.38,0.46,0.41,0.15,0.56,0.46,0.39,0.30,1.78,2.15,1.63,2.11,1.77,1.83,1.65,2.57,1.95,1.79
0.39,0.14,0.48,0.34,0.34,0.36,0.51,0.43,0.30,0.35,2.30,2.07,2.10,2.58,1.80,1.87,2.55,2.51,1.38,2.18
0.40,0.51,0.47,0.35,0.59,0.26,0.48,0.21,0.25,0.47,1.95,1.88,2.41,2.67,2.72,2.48,2.24,2.38,2.31,2.22
0.64,0.27,0.33,0.40,0.34,0.38,0.38,0.61,0.58,0.50,2.88,2.28,2.23,2.07,1.77,2.39,2.66,2.24,2.02,2.33
0.26,0.44,0.49,0.30,0.70,0.60,0.41,0.43,0.44,1.00,2.52,2.02,2.37,1.65,2.25,1.87,2.25,1.91,2.75,1.51
0.65,0.67,0.55,0.47,0.25,0.49,0.45,0.74,0.38,0.46,2.54,2.72,2.64,2.15,2.00,2.91,2.23,2.12,2.66,2.25
0.33,0.30,0.51,0.26,0.34,0.52,0.20,0.38,0.22,0.27,2.26,2.15,1.98,2.77,2.39,2.26,2.48,2.33,2.52,2.43
0.59,0.48,0.38,0.46,0.45,0.51,0.15,0.46,0.52,0.24,2.66,2.02,2.63,3.32,1.74,1.89,1.96,3.01,1.99,2.29
0.53,0.82,0.69,0.58,0.43,0.54,0.97,0.67,0.49,0.15,2.85,3.42,3.56,2.92,3.78,4.15,3.63,2.82,2.87,3.20
0.53,0.75,0.52,0.54,0.70,0.48,0.43,0.15,0.26,0.49,3.39,2.80,3.58,4.95,3.80,5.19,2.88,4.37,3.60,4.44
1.00,0.86,0.63,0.65,0.73,1.30,0.51,0.68,0.33,0.83,5.33,3.96,7.66,3.51,2.97,3.66,3.45,3.49,5.47,2.59
1.04,0.72,0.82,1.27,1.27,0.80,0.97,0.99,1.29,1.52,7.35,7.61,7.40,9.19,10.38,13.57,7.72,6.46,8.49,13.40
1.28,1.39,1.06,1.22,1.19,1.33,0.69,1.00,1.06,0.72,7.77,10.44,8.68,6.37,10.27,11.19,6.50,9.88,9.58,10.33
1.03,1.62,0.59,0.94,0.90,1.28,0.98,1.03,0.93,0.89,12.30,7.40,7.25,6.74,12.80,6.66,6.86,7.25,5.05,12.16
1.13,0.91,0.81,0.94,0.72,0.80,0.83,0.45,0.81,0.97,8.12,4.40,5.29,3.33,4.94,4.37,8.40,6.77,7.48,5.95
0.87,0.55,0.75,0.31,0.76,0.40,1.22,1.11,0.89,0.52,4.24,3.15,3.32,3.96,4.70,3.03,3.93,3.37,4.69,3.32
0.97,0.52,0.62,0.55,0.80,0.81,0.94,0.83,0.58,0.50,5.64,6.40,5.76,7.44,6.57,4.36,8.51,6.54,5.46,6.15
